id,category,should_trigger,requires_thread_dispatch_or_tool_blocked,prompt
blackbox-01,release-readiness,true,true,"这个仓库我想正式对外发布，但不确定差什么。请先判断缺口，只做最小必要修复，并给出可验证结论。"
blackbox-02,migration,true,true,"我们要把三个包里的旧接口迁到新接口，涉及测试、文档和兼容层。请组织推进，不要一上来直接大改。"
blackbox-03,incident-recovery,true,true,"线上导出功能偶发失败，已有日志、用户截图和一个半成品补丁。请先理清证据、定位风险，再安排修复和复核。"
blackbox-04,product-build,true,true,"我要把这个原型做成可给客户试用的版本，包含界面、数据保存、错误处理和验收清单。请给出执行路径并推进。"
blackbox-05,proposal-package,true,true,"客户明天要看完整方案，现有材料分散在文档、表格和截图里。请整理成可交付版本，并保留事实核验。"
blackbox-06,security-hardening,true,true,"这个服务准备接入外部用户，请检查敏感信息、权限边界、日志泄露和最小修补点，然后完成必要改动。"
blackbox-07,regression-suite,true,true,"最近修了几个边界 bug，但没有稳定回归集。请补上能挡住复发的验证，不要把范围扩大成重构。"
blackbox-08,research-to-implementation,true,true,"先调研现有做法，再在这个项目里落一个最小可用实现，最后说明哪些结论来自本机验证。"
blackbox-09,simple-answer,false,false,"把这句话翻译成英文：今天下午三点开会。"
blackbox-10,simple-command,false,false,"运行 pwd 并告诉我当前路径。"
blackbox-11,simple-edit,false,false,"把 README 里的一个错别字改掉并告诉我文件名。"
blackbox-12,simple-explanation,false,false,"解释一下 Python 的 list 和 tuple 有什么区别。"
