id,should_trigger,requires_boot_receipt,requires_thread_dispatch_or_tool_blocked,prompt
activation-01,true,true,false,"使用 $zhijuan-codex-agency-chief-of-staf。给我一句最短调用方式。"
activation-02,true,true,true,"使用 $zhijuan-codex-agency-chief-of-staf。安排一个真实 worker thread 帮我检查这个项目是否能发布，必须给 thread id 和 receipt。"
activation-03,true,true,true,"启动幕僚长。制定规划、开发、执行、审核，完整团队完成这个 Skill 的测试修复。"
activation-04,true,true,true,"按 Codex Agency 流程处理。开另一个线程做前测设计，主线程负责监察并记录 cleanup。"
activation-05,true,true,false,"使用本 Skill。这个任务很小：告诉我当前仓库名字。"
activation-06,true,true,true,"这个线程卡住了，启动 Rescue，创建新线程接管，只补失败项并留下 receipt。"
activation-07,true,true,false,"使用 $zhijuan-codex-agency-chief-of-staf。帮我写一个绘画提示词，但先判断是否需要图像 Skill 或创意线程。"
activation-08,true,true,true,"我要真实 Codex Threads，不要同线程模拟；让规划、开发、审核分别跑，并归档完成线程。"
activation-09,false,false,false,"把这句话翻译成英文：今天下午三点开会。"
activation-10,false,false,false,"运行 pwd 并告诉我当前路径。"
